step,parameter_comb,prop_A_seq_minus_ea,prop_B_seq_minus_ea,prop_C_seq_minus_ea
7300,152,1,1,1
10000,152,1,1,1
730,153,0,0,0
1000,153,0,0,0
1825,153,1,0,0
3650,153,1,0.6,0
5000,153,0.78,1,0
7300,153,0,1,0.48
10000,153,0,0.97,0.87
730,154,1,0,0
1000,154,1,0,0
1825,154,1,1,0
3650,154,0,0.9,0.99
5000,154,0,0.030000000000000027,0.36
7300,154,0,0,0
10000,154,0,0,0
730,155,1,0,0
1000,155,1,0,0
1825,155,1,0.89,0
3650,155,0.99,0.99,0.9
5000,155,0,0.98,1
7300,155,0,0.040000000000000036,0.22999999999999998
10000,155,0,0,0
730,156,0,0,0
1000,156,0,0,0
1825,156,0,0,0
3650,156,1,0,0
5000,156,1,0.03,0
7300,156,1,1,0
10000,156,0.020000000000000018,1,0.4
730,157,0,0,0
1000,157,0,0,0
1825,157,0.74,0,0
3650,157,1,0,0
5000,157,1,0.12,0
7300,157,1,0.95,0
10000,157,0.7,1,0.13
730,158,1,0,0
1000,158,1,0,0
1825,158,1,1,0
3650,158,0,0.15000000000000002,0.61
5000,158,0,0,0.010000000000000009
7300,158,0,0,0
10000,158,0,0,0
730,159,0,0,0
1000,159,0.95,0,0
1825,159,1,0,0
3650,159,0.54,1,0
5000,159,0,1,0.56
7300,159,0,0.09999999999999998,0.6699999999999999
10000,159,0,0,0.040000000000000036
730,160,0,0,0
1000,160,0,0,0
1825,160,0,0,0
3650,160,1,0,0
5000,160,1,0,0
7300,160,1,0.07,0
10000,160,1,1,0
730,161,0.25,0,0
1000,161,0.96,0,0
1825,161,1,0,0
3650,161,1,0,0
5000,161,1,0,0
7300,161,1,0,0
10000,161,1,0,0
730,162,0.45,0,0
1000,162,1,0,0
1825,162,1,0.01,0
3650,162,1,1,0.33
5000,162,0.29000000000000004,0.99,0.99
7300,162,0,0.39,0.8200000000000001
10000,162,0,0,0
730,163,0.33,0,0
1000,163,1,0,0
1825,163,1,0,0
3650,163,1,1,0.05
5000,163,1,1,0.54
7300,163,0.99,1,0.92
10000,163,0.72,1,0.99
730,164,1,0,0
1000,164,1,0.25,0
1825,164,1,1,0.15
3650,164,0.29000000000000004,1,1
5000,164,0,0.6599999999999999,0.92
7300,164,0,0,0.030000000000000027
10000,164,0,0,0
730,165,0,0,0
1000,165,0,0,0
1825,165,0.51,0,0
3650,165,1,0,0
5000,165,1,0.08,0
7300,165,1,1,0
10000,165,1,1,0.43
730,166,0,0,0
1000,166,0,0,0
1825,166,1,0,0
3650,166,1,0.79,0
5000,166,0.94,1,0.01
7300,166,0.030000000000000027,1,0.4
10000,166,0,1,0.81
730,167,0,0,0
1000,167,0,0,0
1825,167,0,0,0
3650,167,0.01,0,0
5000,167,0.99,0,0
7300,167,1,0,0
10000,167,1,0,0
730,168,0,0,0
1000,168,0,0,0
1825,168,0.52,0,0
3650,168,1,0,0
5000,168,1,0.74,0
7300,168,1,1,0
10000,168,0.81,1,0.77
730,169,0,0,0
1000,169,0,0,0
1825,169,0,0,0
3650,169,0,0,0
5000,169,0,0,0
7300,169,0.04,0,0
10000,169,1,0,0
730,170,0,0,0
1000,170,0,0,0
1825,170,0,0,0
3650,170,1,0,0
5000,170,1,0,0
7300,170,1,0.91,0
10000,170,0.94,1,0.01
730,171,0,0,0
1000,171,0,0,0
1825,171,0,0,0
3650,171,1,0,0
5000,171,1,0,0
7300,171,1,0.24,0
10000,171,1,1,0
730,172,1,0,0
1000,172,1,1,0
1825,172,0,0.52,0.8899999999999999
3650,172,0,0,0
5000,172,0,0,0
7300,172,0,0,0
10000,172,0,0,0
730,173,0,0,0
1000,173,0,0,0
1825,173,0,0,0
3650,173,1,0,0
5000,173,1,0,0
7300,173,1,1,0
10000,173,0.06999999999999995,1,0.11
730,174,1,0,0
1000,174,1,0,0
1825,174,1,0.54,0
3650,174,1,1,0.69
5000,174,1,1,0.97
7300,174,0.51,1,1
10000,174,0,0.97,1
730,175,0,0,0
1000,175,0,0,0
1825,175,0,0,0
3650,175,0.01,0,0
5000,175,1,0,0
7300,175,1,0,0
10000,175,1,0.07,0
730,176,0,0,0
1000,176,0,0,0
1825,176,0,0,0
3650,176,1,0,0
5000,176,1,0,0
7300,176,1,0.99,0
10000,176,1,1,0.02
730,177,0,0,0
1000,177,0,0,0
1825,177,0,0,0
3650,177,1,0,0
5000,177,1,0,0
7300,177,1,0,0
10000,177,1,0.98,0
730,178,0,0,0
1000,178,0,0,0
1825,178,1,0,0
3650,178,1,0,0
5000,178,1,0.94,0
7300,178,1,1,0.06
10000,178,1,1,0.59
730,179,1,0,0
1000,179,1,0.97,0
1825,179,1,1,0.2
3650,179,1,1,1
5000,179,1,1,1
7300,179,1,1,1
10000,179,0.79,1,1
730,180,0,0,0
1000,180,0,0,0
1825,180,0,0,0
3650,180,0,0,0
5000,180,0,0,0
7300,180,0,0,0
10000,180,0,0,0
730,181,0,0,0
1000,181,0,0,0
1825,181,1,0,0
3650,181,1,0.99,0
5000,181,0.99,1,0
7300,181,0,0.92,0.98
10000,181,0,0.050000000000000044,0.42000000000000004
730,182,0,0,0
1000,182,0.17,0,0
1825,182,1,0,0
3650,182,1,0.99,0
5000,182,1,1,0.05
7300,182,0.49,1,0.86
10000,182,0,0.91,0.99
730,183,0,0,0
1000,183,0,0,0
1825,183,1,0,0
3650,183,1,0,0
5000,183,1,0.99,0
7300,183,1,1,0.15
10000,183,0.20999999999999996,1,0.93
730,184,0,0,0
1000,184,0,0,0
1825,184,1,0,0
3650,184,1,0.75,0
5000,184,1,1,0
7300,184,0.9299999999999999,1,0.47
10000,184,0.16000000000000003,1,0.89
730,185,0,0,0
1000,185,0,0,0
1825,185,0,0,0
3650,185,0,0,0
5000,185,0.99,0,0
7300,185,1,0,0
10000,185,1,0.01,0
730,186,0,0,0
1000,186,0.05,0,0
1825,186,NA,NA,NA
3650,186,NA,NA,NA
5000,186,NA,NA,NA
7300,186,NA,NA,NA
10000,186,NA,NA,NA
730,187,0,0,0
1000,187,0,0,0
1825,187,1,0,0
3650,187,1,0.01,0
5000,187,1,0.99,0
7300,187,1,1,0.03
10000,187,0.08999999999999997,1,0.85
730,188,1,0,0
1000,188,1,0,0
1825,188,1,1,0
3650,188,1,1,0.99
5000,188,0.13,0.97,0.99
7300,188,0,0.17000000000000004,0.56
10000,188,0,0,0
730,189,1,1,0
1000,189,0,0.99,0.02
1825,189,0,0,0.010000000000000009
3650,189,0,0,0
5000,189,0,0,0
7300,189,0,0,0
10000,189,0,0,0
730,190,1,1,0
1000,190,1,1,0.71
1825,190,0.99,0.99,0.99
3650,190,0,0.6699999999999999,0.86
5000,190,0,0.020000000000000018,0.040000000000000036
7300,190,0,0,0
10000,190,0,0,0
730,191,0,0,0
1000,191,0.69,0,0
1825,191,1,0,0
3650,191,1,1,0
5000,191,1,1,0.38
7300,191,0.30000000000000004,1,0.97
10000,191,0,0.86,0.99
730,192,1,0,0
1000,192,1,0,0
1825,192,0.4,1,0
3650,192,0,0.07999999999999996,0.53
5000,192,0,0,0.09999999999999998
7300,192,0,0,0
10000,192,0,0,0
730,193,0,0,0
1000,193,0,0,0
1825,193,0,0,0
3650,193,0,0,0
5000,193,0.09,0,0
7300,193,1,0,0
10000,193,1,0,0
730,194,0,0,0
1000,194,0,0,0
1825,194,0,0,0
3650,194,0,0,0
5000,194,0,0,0
7300,194,0,0,0
10000,194,0.7,0,0
730,195,0,0,0
1000,195,0,0,0
1825,195,1,0,0
3650,195,1,0.87,0
5000,195,1,1,0
7300,195,0.92,1,0.74
10000,195,0,0.99,0.99
730,196,0,0,0
1000,196,0,0,0
1825,196,1,0,0
3650,196,1,0.97,0
5000,196,1,1,0
7300,196,0,0.99,0.84
10000,196,0,0.15000000000000002,0.62
730,197,0,0,0
1000,197,0,0,0
1825,197,1,0,0
3650,197,1,0,0
5000,197,1,1,0
7300,197,0.42000000000000004,1,0.12
10000,197,0,0.9,0.9299999999999999
730,198,0,0,0
1000,198,0,0,0
1825,198,0.58,0,0
3650,198,1,0,0
5000,198,1,0.83,0
7300,198,0.07999999999999996,1,0
10000,198,0,0.65,0.83
730,199,0,0,0
1000,199,0,0,0
1825,199,0,0,0
3650,199,0,0,0
5000,199,0,0,0
7300,199,0,0,0
10000,199,0,0,0
730,200,0,0,0
1000,200,0,0,0
1825,200,0.35,0,0
3650,200,1,0,0
5000,200,1,0.25,0
7300,200,0.35,1,0
10000,200,0,1,0.46
730,201,1,0,0
1000,201,1,0.73,0
1825,201,1,1,0.45
3650,201,0.79,1,0.99
5000,201,0,1,1
7300,201,0,0.4,0.61
10000,201,0,0.010000000000000009,0.10999999999999999
730,202,1,0,0
1000,202,1,0,0
1825,202,0,1,0
3650,202,0,0,0.06999999999999995
5000,202,0,0,0
7300,202,0,0,0
10000,202,0,0,0
730,203,0,0,0
1000,203,0.14,0,0
1825,203,1,0,0
3650,203,1,0.99,0
5000,203,1,1,0
7300,203,0.9,1,0.9
10000,203,0,1,0.99
730,204,0.21,0,0
1000,204,1,0,0
1825,204,1,0.01,0
3650,204,1,1,0.14
5000,204,1,1,0.9
7300,204,0.050000000000000044,1,1
10000,204,0,0.5800000000000001,0.9299999999999999
730,205,NA,NA,NA
1000,205,NA,NA,NA
1825,205,NA,NA,NA
3650,205,NA,NA,NA
5000,205,NA,NA,NA
7300,205,NA,NA,NA
10000,205,NA,NA,NA
730,206,0,0,0
1000,206,0,0,0
1825,206,0,0,0
3650,206,0,0,0
5000,206,0,0,0
7300,206,0.14,0,0
10000,206,0.91,0,0
730,207,0,0,0
1000,207,0.59,0,0
1825,207,1,0,0
3650,207,1,1,0
5000,207,0.33999999999999997,1,0.1
7300,207,0,1,0.82
10000,207,0,0.64,0.88
730,208,0,0,0
1000,208,0,0,0
1825,208,1,0,0
3650,208,1,0.46,0
5000,208,0.97,1,0
7300,208,0.030000000000000027,1,0.46
10000,208,0,0.5800000000000001,0.81
730,209,1,0,0
1000,209,1,0.01,0
1825,209,0.85,1,0.04
3650,209,0,0.14,0.65
5000,209,0,0,0.020000000000000018
7300,209,0,0,0
10000,209,0,0,0
730,210,0,0,0
1000,210,0,0,0
1825,210,0,0,0
3650,210,1,0,0
5000,210,1,0,0
7300,210,0.98,0.98,0
10000,210,0,1,0.01
730,211,0.1,0,0
1000,211,1,0,0
1825,211,1,0,0
3650,211,0.27,1,0.04
5000,211,0.010000000000000009,1,0.57
7300,211,0,0.72,0.86
10000,211,0,0.10999999999999999,0.47
730,212,1,0,0
1000,212,1,0,0
1825,212,1,1,0
3650,212,1,1,1
5000,212,0.98,0.99,1
7300,212,0,0.94,0.96
10000,212,0,0.10999999999999999,0.31000000000000005
730,213,1,0,0
1000,213,1,0,0
1825,213,1,0.92,0
3650,213,1,1,0.74
5000,213,1,1,1
7300,213,0.8,1,1
10000,213,0.010000000000000009,0.99,0.99
730,214,0,0,0
1000,214,0,0,0
1825,214,1,0,0
3650,214,1,0.64,0
5000,214,0.9299999999999999,1,0
7300,214,0.12,1,0.43
10000,214,0,0.96,0.73
730,215,0,0,0
1000,215,0,0,0
1825,215,0,0,0
3650,215,0,0,0
5000,215,0,0,0
7300,215,0,0,0
10000,215,0.08,0,0
730,216,0.91,0,0
1000,216,1,0,0
1825,216,1,0.12,0
3650,216,1,1,0.29
5000,216,1,1,0.96
7300,216,1,1,1
10000,216,0.9299999999999999,1,1
730,217,0,0.65,0.47000000000000003
1000,217,0,0.010000000000000009,0.33999999999999997
1825,217,0,0,0
3650,217,0,0,0
5000,217,0,0,0
7300,217,0,0,0
10000,217,0,0,0
730,218,1,0,0
1000,218,1,0,0
1825,218,0.18000000000000005,1,0
3650,218,0,0,0.13
5000,218,0,0,0.010000000000000009
7300,218,0,0,0
10000,218,0,0,0
730,219,1,0,0
1000,219,1,0,0
1825,219,0.98,1,0
3650,219,0,0.45999999999999996,0.89
5000,219,0,0,0.16000000000000003
7300,219,0,0,0
10000,219,0,0,0
730,220,1,0,0
1000,220,1,0.01,0
1825,220,1,1,0.01
3650,220,0.6599999999999999,1,0.95
5000,220,0,0.8200000000000001,0.9299999999999999
7300,220,0,0.09999999999999998,0.30000000000000004
10000,220,0,0,0.010000000000000009
730,221,0,0,0
1000,221,0,0,0
1825,221,1,0,0
3650,221,1,0.99,0
5000,221,1,1,0
7300,221,1,1,0.93
10000,221,0.06999999999999995,1,0.99
730,222,0,0,0
1000,222,0,0,0
1825,222,0,0,0
3650,222,1,0,0
5000,222,1,0,0
7300,222,1,0.85,0
10000,222,1,1,0.01
730,223,0,0,0
1000,223,0,0,0
1825,223,1,0,0
3650,223,1,0.03,0
5000,223,1,1,0
7300,223,1,1,0.54
10000,223,0.17000000000000004,1,0.98
730,224,1,0,0
1000,224,1,0,0
1825,224,0.9299999999999999,1,0
3650,224,0,0,0.32999999999999996
5000,224,0,0,0
7300,224,0,0,0
10000,224,0,0,0
730,225,1,0,0
1000,225,1,0.06,0
1825,225,1,1,0.02
3650,225,1,1,0.99
5000,225,0.99,1,1
7300,225,0.24,1,1
10000,225,0,0.6799999999999999,0.84
730,226,0.11,0,0
1000,226,1,0,0
1825,226,1,0.01,0
3650,226,0.97,1,0.14
5000,226,0.030000000000000027,1,0.92
7300,226,0,0.20999999999999996,0.74
10000,226,0,0,0.030000000000000027
730,227,0,0,0
1000,227,0,0,0
1825,227,1,0,0
3650,227,1,0,0
5000,227,1,0.89,0
7300,227,1,1,0.03
10000,227,1,1,0.46
730,228,1,0,0
1000,228,1,0.07,0
1825,228,0,0.91,0.12000000000000001
3650,228,0,0,0
5000,228,0,0,0
7300,228,0,0,0
10000,228,0,0,0
730,229,1,0,0
1000,229,1,0.34,0
1825,229,1,1,0.25
3650,229,0.43999999999999995,0.98,0.99
5000,229,0,0.8200000000000001,0.95
7300,229,0,0.030000000000000027,0.06000000000000005
10000,229,0,0,0
730,230,0,0,0
1000,230,0,0,0
1825,230,1,0,0
3650,230,1,0.73,0
5000,230,1,1,0
7300,230,0.99,1,0.67
10000,230,0.18000000000000005,0.99,0.99
730,231,1,0,0
1000,231,1,0.22,0
1825,231,0.020000000000000018,1,0.1
3650,231,0,0.17000000000000004,0.5800000000000001
5000,231,0,0,0.16000000000000003
7300,231,0,0,0.010000000000000009
10000,231,0,0,0
730,232,0,0,0
1000,232,0,0,0
1825,232,1,0,0
3650,232,1,0.93,0
5000,232,0.88,1,0
7300,232,0,0.99,0.79
10000,232,0,0.30000000000000004,0.77
730,233,0,0,0
1000,233,0,0,0
1825,233,0,0,0
3650,233,0.62,0,0
5000,233,1,0,0
7300,233,1,0,0
10000,233,1,0.6,0
730,234,0,0,0
1000,234,0.12,0,0
1825,234,1,0,0
3650,234,1,1,0
5000,234,1,1,0.1
7300,234,0.18999999999999995,1,0.94
10000,234,0,0.61,0.9299999999999999
730,235,0,0,0
1000,235,0.71,0,0
1825,235,1,0,0
3650,235,1,0.99,0
5000,235,1,1,0
7300,235,0.99,1,0.93
10000,235,0.040000000000000036,1,1
730,236,1,0,0
1000,236,1,0.01,0
1825,236,0,1,0.04
3650,236,0,0,0.030000000000000027
5000,236,0,0,0.010000000000000009
7300,236,0,0,0
10000,236,0,0,0
730,237,0,0,0
1000,237,0.06,0,0
1825,237,1,0,0
3650,237,1,1,0
5000,237,1,1,0.06
7300,237,0.08999999999999997,0.99,1
10000,237,0,0.49,0.92
730,238,0,0,0
1000,238,0,0,0
1825,238,0,0,0
3650,238,0,0,0
5000,238,0.99,0,0
7300,238,1,0,0
10000,238,1,0,0
730,239,0,0,0
1000,239,0,0,0
1825,239,0.74,0,0
3650,239,1,0,0
5000,239,1,0.64,0
7300,239,1,1,0
10000,239,1,1,0.8
730,240,1,0.74,0
1000,240,1,1,0
1825,240,0,0.18999999999999995,0.84
3650,240,0,0,0
5000,240,0,0,0
7300,240,0,0,0
10000,240,0,0,0
730,241,0,0,0
1000,241,0,0,0
1825,241,0,0,0
3650,241,0.9,0,0
5000,241,1,0,0
7300,241,1,0,0
10000,241,1,0.62,0
730,242,1,0,0
1000,242,1,0.88,0
1825,242,1,1,0.53
3650,242,0.010000000000000009,0.98,0.99
5000,242,0,0.12,0.41000000000000003
7300,242,0,0,0
10000,242,0,0,0
730,243,0,0,0
1000,243,0,0,0
1825,243,0,0,0
3650,243,0,0,0
5000,243,0,0,0
7300,243,0,0,0
10000,243,0,0,0
730,244,0,0,0
1000,244,0,0,0
1825,244,1,0,0
3650,244,1,0.26,0
5000,244,1,1,0
7300,244,0.26,1,0.3
10000,244,0,0.99,0.83
730,245,0,0,0
1000,245,0.01,0,0
1825,245,1,0,0
3650,245,1,1,0
5000,245,1,1,0.03
7300,245,0.5900000000000001,1,0.98
10000,245,0,0.9,0.99
730,246,1,1,0.9
1000,246,1,1,0.99
1825,246,1,1,1
3650,246,0.25,0.99,0.99
5000,246,NA,NA,NA
7300,246,NA,NA,NA
10000,246,NA,NA,NA
730,247,0,0,0
1000,247,0,0,0
1825,247,1,0,0
3650,247,1,0,0
5000,247,1,1,0
7300,247,0.44999999999999996,1,0.17
10000,247,0,0.88,0.98
730,248,0.07,0,0
1000,248,1,0,0
1825,248,1,0,0
3650,248,0.15000000000000002,1,0.25
5000,248,0,0.81,1
7300,248,0,0.010000000000000009,0.19999999999999996
10000,248,0,0,0
730,249,0,0,0
1000,249,0,0,0
1825,249,0,0,0
3650,249,1,0,0
5000,249,1,0,0
7300,249,1,0.03,0
10000,249,1,0.88,0
730,250,0,0,0
1000,250,0,0,0
1825,250,0,0,0
3650,250,1,0,0
5000,250,1,0,0
7300,250,1,0.86,0
10000,250,1,1,0
730,251,0,0,0
1000,251,0.23,0,0
1825,251,1,0,0
3650,251,1,0.99,0
5000,251,0.25,1,0.12
7300,251,0,0.97,0.79
10000,251,0,0.44999999999999996,0.78
730,252,0,0,0
1000,252,0.37,0,0
1825,252,1,0,0
3650,252,1,1,0
5000,252,1,1,0.21
7300,252,0.10999999999999999,0.99,1
10000,252,0,0.45999999999999996,0.87
730,253,0,0,0
1000,253,0,0,0
1825,253,0,0,0
3650,253,0.9,0,0
5000,253,1,0,0
7300,253,1,0.03,0
10000,253,1,0.79,0
730,254,0,0,0
1000,254,0,0,0
1825,254,1,0,0
3650,254,1,1,0
5000,254,0.91,1,0.06
7300,254,0,0.91,0.98
10000,254,0,0.040000000000000036,0.35
730,255,0.31,0,0
1000,255,1,0,0
1825,255,1,0,0
3650,255,1,1,0.16
5000,255,1,1,0.93
7300,255,0,1,1
10000,255,0,0.31000000000000005,0.73
730,256,1,0,0
1000,256,1,0.13,0
1825,256,1,1,0.1
3650,256,0.28,0.99,1
5000,256,0,0.95,0.98
7300,256,0,0.15000000000000002,0.33999999999999997
10000,256,0,0,0
730,257,0.01,0,0
1000,257,1,0,0
1825,257,1,0,0
3650,257,0,1,0.12
5000,257,0,0.12,0.72
7300,257,0,0,0.020000000000000018
10000,257,0,0,0
730,258,0,0,0
1000,258,0,0,0
1825,258,0,0,0
3650,258,1,0,0
5000,258,1,0.01,0
7300,258,1,1,0
10000,258,1,1,0.22
730,259,0.02,0,0
1000,259,1,0,0
1825,259,1,0,0
3650,259,1,1,0
5000,259,1,1,0.86
7300,259,0.51,1,1
10000,259,0,0.9299999999999999,0.98
730,260,1,0,0
1000,260,1,0,0
1825,260,1,1,0
3650,260,0,0.56,0.96
5000,260,0,0,0.07999999999999996
7300,260,0,0,0
10000,260,0,0,0
730,261,0,0,0
1000,261,0,0,0
1825,261,0.9,0,0
3650,261,1,0,0
5000,261,1,0.23,0
7300,261,0.99,0.9,0
10000,261,0.62,1,0.12
730,262,1,0,0
1000,262,1,0.82,0
1825,262,1,1,0.55
3650,262,0,0.87,0.98
5000,262,0,0.050000000000000044,0.16000000000000003
7300,262,0,0,0
10000,262,0,0,0
730,263,1,0,0
1000,263,1,0,0
1825,263,1,1,0
3650,263,0.87,1,1
5000,263,0,0.98,0.99
7300,263,0,0.07999999999999996,0.27
10000,263,0,0,0
730,264,1,0,0
1000,264,1,0,0
1825,264,0,1,0
3650,264,0,0,0.010000000000000009
5000,264,0,0,0
7300,264,0,0,0
10000,264,0,0,0
730,265,0,0,0
1000,265,0,0,0
1825,265,0,0,0
3650,265,1,0,0
5000,265,1,0,0
7300,265,0.99,0.98,0
10000,265,0.030000000000000027,1,0.07
730,266,0,0,0
1000,266,0,0,0
1825,266,0,0,0
3650,266,0,0,0
5000,266,0.77,0,0
7300,266,1,0,0
10000,266,1,0,0
730,267,0,0,0
1000,267,0,0,0
1825,267,0,0,0
3650,267,0.09,0,0
5000,267,1,0,0
7300,267,1,0,0
10000,267,1,0.09,0
730,268,0,0,0
1000,268,0,0,0
1825,268,0,0,0
3650,268,1,0,0
5000,268,1,0,0
7300,268,1,0.44,0
10000,268,0.35,1,0
730,269,0,0,0
1000,269,0,0,0
1825,269,0,0,0
3650,269,0,0,0
5000,269,0,0,0
7300,269,0,0,0
10000,269,0.74,0,0
730,270,0,0,0
1000,270,0,0,0
1825,270,0.59,0,0
3650,270,1,0,0
5000,270,1,0.62,0
7300,270,0.74,1,0
10000,270,0.010000000000000009,0.97,0.66
730,271,0.96,0,0
1000,271,1,0,0
1825,271,1,0.67,0
3650,271,0,0.6,0.65
5000,271,0,0.020000000000000018,0.28
7300,271,0,0,0
10000,271,0,0,0
730,272,0,0,0
1000,272,1,0,0
1825,272,1,0,0
3650,272,0.18999999999999995,1,0.01
5000,272,0,0.99,0.51
7300,272,0,0.33999999999999997,0.77
10000,272,0,0,0.21999999999999997
730,273,0,0,0
1000,273,0,0,0
1825,273,0,0,0
3650,273,1,0,0
5000,273,1,0,0
7300,273,1,0,0
10000,273,1,0.64,0
730,274,0.33,0,0
1000,274,0.99,0,0
1825,274,1,0,0
3650,274,0.99,0.76,0
5000,274,0.85,0.93,0.02
7300,274,0.39,1,0.21
10000,274,0.040000000000000036,1,0.43
730,275,1,0.98,0
1000,275,1,1,0
1825,275,1,1,1
3650,275,1,1,1
5000,275,0.99,1,1
7300,275,0.99,0.99,0.99
10000,275,0.33999999999999997,0.99,0.98
730,276,0,0,0
1000,276,0,0,0
1825,276,0.98,0,0
3650,276,1,0,0
5000,276,1,0.21,0
7300,276,1,0.7,0
10000,276,1,0.91,0.04
730,277,1,0,0
1000,277,1,0,0
1825,277,1,0.98,0
3650,277,0,0.81,0.98
5000,277,0,0,0.30000000000000004
7300,277,0,0,0
10000,277,0,0,0
730,278,1,0,0
1000,278,1,1,0
1825,278,1,1,0.99
3650,278,0,0.96,0.97
5000,278,0,0.14,0.43999999999999995
7300,278,0,0,0
10000,278,0,0,0
730,279,1,0,0
1000,279,1,0,0
1825,279,1,1,0
3650,279,0.48,1,1
5000,279,0,0.6599999999999999,0.91
7300,279,0,0,0
10000,279,0,0,0
730,280,0,0,0
1000,280,0,0,0
1825,280,1,0,0
3650,280,1,0,0
5000,280,1,0.91,0
7300,280,1,1,0.03
10000,280,1,1,0.76
730,281,0,0,0
1000,281,0,0,0
1825,281,0,0,0
3650,281,0.18,0,0
5000,281,NA,NA,NA
7300,281,NA,NA,NA
10000,281,NA,NA,NA
730,282,0,0,0
1000,282,0.84,0,0
1825,282,1,0,0
3650,282,1,1,0
5000,282,0.12,1,0.7
7300,282,0,0.31000000000000005,0.77
10000,282,0,0,0.06999999999999995
730,283,0,0,0
1000,283,0,0,0
1825,283,0,0,0
3650,283,1,0,0
5000,283,1,0,0
7300,283,1,0.58,0
10000,283,0.17000000000000004,1,0
730,284,0,0,0
1000,284,0,0,0
1825,284,0,0,0
3650,284,1,0,0
5000,284,1,0,0
7300,284,1,0,0
10000,284,1,0.95,0
730,285,0,0,0
1000,285,0,0,0
1825,285,1,0,0
3650,285,1,0.99,0
5000,285,1,1,0
7300,285,0.32999999999999996,1,0.89
10000,285,0,0.8200000000000001,0.98
730,286,0.6,0,0
1000,286,1,0,0
1825,286,1,0.28,0
3650,286,0,0.99,0.59
5000,286,0,0.06000000000000005,0.5900000000000001
7300,286,0,0,0.010000000000000009
10000,286,0,0,0
730,287,0,0,0
1000,287,0,0,0
1825,287,1,0,0
3650,287,1,0,0
5000,287,1,0.99,0
7300,287,1,1,0.15
10000,287,0.050000000000000044,1,0.94
730,288,1,0,0
1000,288,1,0,0
1825,288,1,1,0
3650,288,0,0.9,0.97
5000,288,0,0.030000000000000027,0.27
7300,288,0,0,0
10000,288,0,0,0
730,289,1,1,0
1000,289,0.74,0.99,0.96
1825,289,0,0.010000000000000009,0.13
3650,289,0,0,0
5000,289,0,0,0
7300,289,0,0,0
10000,289,0,0,0
730,290,0,0,0
1000,290,1,0,0
1825,290,1,0,0
3650,290,1,1,0
5000,290,0.87,1,0.69
7300,290,0,0.87,0.97
10000,290,0,0.020000000000000018,0.17000000000000004
730,291,0,0,0
1000,291,1,0,0
1825,291,1,0,0
3650,291,1,1,0.02
5000,291,0.4,1,0.94
7300,291,0,0.61,0.9
10000,291,0,0.010000000000000009,0.10999999999999999
730,292,0,0,0
1000,292,0,0,0
1825,292,0,0,0
3650,292,0.99,0,0
5000,292,1,0,0
7300,292,1,0,0
10000,292,1,0.29,0
730,293,1,0.9,0
1000,293,1,1,0
1825,293,0.9299999999999999,1,1
3650,293,0,0.020000000000000018,0.09999999999999998
5000,293,0,0,0
7300,293,0,0,0
10000,293,0,0,0
730,294,0,0,0
1000,294,1,0,0
1825,294,1,0,0
3650,294,1,1,0.03
5000,294,0.5900000000000001,1,0.89
7300,294,0,0.72,0.98
10000,294,0,0.020000000000000018,0.14
730,295,0,0,0
1000,295,0,0,0
1825,295,0,0,0
3650,295,1,0,0
5000,295,1,0,0
7300,295,1,1,0
10000,295,1,1,0.03
730,296,0,0,0
1000,296,0,0,0
1825,296,0,0,0
3650,296,0.57,0,0
5000,296,1,0,0
7300,296,1,0,0
10000,296,1,0.13,0
730,297,0,0,0
1000,297,0.92,0,0
1825,297,1,0,0
3650,297,1,1,0
5000,297,0.97,1,0.43
7300,297,0,1,0.95
10000,297,0,0.78,0.94
730,298,0.96,1,0
1000,298,0,1,0.1
1825,298,0,0,0.13
3650,298,0,0,0
5000,298,0,0,0
7300,298,0,0,0
10000,298,0,0,0
730,299,0,0,0
1000,299,1,0,0
1825,299,1,0,0
3650,299,1,1,0
5000,299,0.010000000000000009,1,0.84
7300,299,0,0.08999999999999997,0.48
10000,299,0,0,0.020000000000000018
730,300,1,0,0
1000,300,1,0,0
1825,300,0.17000000000000004,1,0
3650,300,0,0,0.09999999999999998
5000,300,0,0,0
7300,300,0,0,0
10000,300,0,0,0
730,301,0.16,0,0
1000,301,1,0,0
1825,301,1,0.01,0
3650,301,0.12,1,0.48
5000,301,0,0.5900000000000001,0.91
7300,301,0,0,0.040000000000000036
10000,301,0,0,0
730,302,0,0,0
1000,302,0,0,0
1825,302,1,0,0
3650,302,1,0.5,0
5000,302,0.99,0.99,0
7300,302,0.21999999999999997,1,0.38
10000,302,0,0.97,0.82
730,303,0,0,0
1000,303,0,0,0
1825,303,0,0,0
3650,303,1,0,0
5000,303,1,0,0
7300,303,1,0.47,0
10000,303,1,1,0
730,304,0,0,0
1000,304,0,0,0
1825,304,0.74,0,0
3650,304,1,0,0
5000,304,1,0.71,0
7300,304,1,1,0
10000,304,0.87,1,0.69
730,305,1,0,0
1000,305,1,0,0
1825,305,1,1,0
3650,305,1,1,0.97
5000,305,1,1,1
7300,305,0.020000000000000018,1,1
10000,305,0,0.36,0.65
730,306,0,0,0
1000,306,0,0,0
1825,306,0,0,0
3650,306,1,0,0
5000,306,1,0,0
7300,306,1,0.05,0
10000,306,1,0.89,0
730,307,1,0,0
1000,307,1,0,0
1825,307,1,1,0
3650,307,0.8,1,1
5000,307,0,0.88,0.96
7300,307,0,0,0.06000000000000005
10000,307,0,0,0
730,308,1,0,0
